EXPEDIENTE;TIPO COMPAÑIA;CIUDAD;TAMAÑO;SECTOR;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
302505;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;31414.20;12666.84;104004.10;7147.34
110663;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;27800.00;800.00;0.00;0.00
705988;ANÓNIMA;DAULE                                             ;MEDIANA        ;SOCIETARIO;26701.00;-5493.84;1295146.56;-10931.44
173842;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;26615.67;17635.07;54883.00;6156.09
55833;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;23844.09;23808.83;1200.00;131.84
302536;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;23363.70;7965.48;114245.01;4728.17
20486;RESPONSABILIDAD LIMITADA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;21520.81;20321.45;21422.00;23.69
121072;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;20913.81;9022.60;0.00;0.00
175114;RESPONSABILIDAD LIMITADA;VELASCO IBARRA                                    ;MICROEMPRESA   ;SOCIETARIO;20530.67;12284.90;4350.00;309.04
97835;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;19996.64;15925.13;3754.10;19.92
140987;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;19077.88;18223.91;38200.00;1077.94
308858;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;18353.45;7962.74;117810.42;7162.74
720541;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;16120.87;9285.20;114630.00;7285.20
709246;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;15834.26;826.72;1200.00;26.72
178837;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;15540.85;13389.46;0.00;0.00
180546;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;12500.00;12500.00;0.00;0.00
19372;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;10567.28;10567.28;0.00;-1245.88
705468;RESPONSABILIDAD LIMITADA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;10000.00;10000.00;0.00;0.00
