;Descriptiva;Inferencial
Usa;Métodos gráficos y numéricos;Los datos
Para ;Encontrar patrones en los datos.  \n Resumir la informaciòn y presentarla \n de una forma significativa;Tomar decisiones. \n Hacer estimaciones, predicciones o generalizaciones \n  sobre el entorno del que fueron obtenidos los datos
