EXPEDIENTE;TIPO;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
707925;ANÓNIMA;GUAYAQUIL;MEDIANA;SOCIETARIO;4;36944,8;7489,7;2149314,98;6689,7
4642;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;36895,14;29676;101968,55;11856,19
704186;ANÓNIMA;NARANJAL;PEQUEÑA;SOCIETARIO;2;36886,19;36816,85;0;0
69025;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;36884,78;16083,3;103077,14;1783,3
66350;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;36855,95;24257,77;0;0
301959;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36849,56;1119,96;13450;289,81
715485;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;36842,75;2127,4;50343,7;1327,4
115633;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;36838,73;34985,16;47945;1896,21
706450;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;36829,62;27764,43;214985,01;22545,66
175365;RESPONSABILIDAD LIMITADA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;36824,85;15663,3;101098,95;5655,36
175260;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;36820,62;27017,24;18817,93;1858,54
121667;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;36804,63;865,6;0;0
715636;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;36800;800;0;0
700910;RESPONSABILIDAD LIMITADA;SAMBORONDÓN;MICROEMPRESA;SOCIETARIO;7;36786,81;-141468,49;0;-43452,06
716597;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;36778,1;24831,4;118539;24031,4
63237;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;36749,47;36577,45;0;-53,95
111999;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;9;36744,97;28930,61;195390,57;13044,97
311066;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;3;36716,47;28777,17;40364,6;27977,17
176230;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;36709,44;4115,59;134180,09;217,5
716199;ANÓNIMA;SAMBORONDÓN;MICROEMPRESA;SOCIETARIO;2;36707,73;800;0;0
106399;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;10;36657,09;11600,23;271909,31;2301,32
305052;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;7;36653,05;1525,72;23530,28;17,72
41924;ANÓNIMA;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;36644,48;17584,68;0;0
70764;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;36631,87;16686,5;130603,14;0
310269;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;36622,73;19385,8;130197,79;16727,22
303310;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;10;36611,78;6305,8;120816,39;465,73
