EXPEDIENTE;TIPO;RAMA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
718002;ANÓNIMA;H;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;150946,86;11701,99;317857,14;10901,99
304553;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;387089,28;20793,07;296278,62;10877,86
130491;ANÓNIMA;Q;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;131913,01;58726,9;140969,95;10654,06
115361;ANÓNIMA;L;GUAYAQUIL;PEQUEÑA;SOCIETARIO;7;48670,51;12036,66;179161,38;10187,91
717914;ANÓNIMA;F;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;53193,57;10968,83;127783,28;10168,83
128857;ANÓNIMA;J;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;62562,54;34112,02;220234,68;10022,66
715428;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;153541,52;9902,56;212828,55;9902,56
109800;ANÓNIMA;L;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;318234,17;35237,57;161682,86;9652,02
119491;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;42746,88;22760,4;168211,6;9523,18
9664;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;485149,5;277738,68;316375,19;9203,06
135948;ANÓNIMA;C;ELOY ALFARO (DURAN);PEQUEÑA;SOCIETARIO;6;373966,01;23781,2;447175;9024,76
713624;ANÓNIMA;A;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;497297,94;42579,08;424787,49;8999,98
707488;ANÓNIMA;D;GUAYAQUIL;PEQUEÑA;SOCIETARIO;8;23399,72;12114,48;116129,95;8900,4
71514;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;69744,51;52071,94;38400;8841,91
27297;RESPONSABILIDAD LIMITADA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;490174,39;282263,34;484537,18;8835,5
100562;RESPONSABILIDAD LIMITADA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;35870,38;35712,63;149900,19;8806,63
38405;ANÓNIMA;F;GUAYAQUIL;PEQUEÑA;SOCIETARIO;7;1467798,44;684878,89;723153,85;8678,66
100224;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;7;116451,4;24119,04;374745,57;8667,67
165987;ANÓNIMA;H;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;7;26155,36;12773,13;91465;8585,5
44665;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;55246,89;55246,89;41961;8535,1
84809;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;143876,39;9432,71;183856,87;8510,44
175488;ANÓNIMA;L;DAULE;MICROEMPRESA;SOCIETARIO;3;173915,92;42242,44;62400;8437,09
122913;ANÓNIMA;N;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;23518,53;16327,66;73726,62;8409,4
138339;RESPONSABILIDAD LIMITADA;N;GUAYAQUIL;MEDIANA;SOCIETARIO;272;352895,18;46955,04;1364794,98;8292,29
4954;ANÓNIMA;L;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;70222,7;64334,89;38640;8239,53
306961;ANÓNIMA;G;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;16367,01;10618,65;100749,55;8221,5
718273;ANÓNIMA;M;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;18314,93;8958,61;118395;8078,61
124283;ANÓNIMA;H;GUAYAQUIL;PEQUEÑA;SOCIETARIO;34;71181,3;61104,86;151670,83;7972,86
42820;ANÓNIMA;A;GUAYAQUIL;PEQUEÑA;SOCIETARIO;26;414790,64;277048,88;314224,45;7931,76
